#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79762.49480710167,15256.232421875,-64506.26238522667,305.359128383774,61.116970831255955,0.9799275478741656,0
20000,-79964.76879804011,15136.19921875,-64828.56957929011,302.95661947660716,60.73070623401808,0.9861601663150475,606
30000,-80644.71902761725,14900.037109375,-65744.68191824225,298.2297476066806,60.38239917025043,0.9918486874181148,607
40000,-80043.68048653973,14718.076171875,-65325.60431466473,294.5877322166144,60.621991536165496,0.9879286681705371,604
50000,-80196.10308382579,14470.21484375,-65725.88824007579,289.62669616109577,61.131323361783274,0.9796974785860825,606
60000,-80006.56442613609,14741.599609375,-65264.96481676109,295.0585625089801,60.96623575322741,0.9823503554096189,606
70000,-79968.12900786311,14979.1572265625,-64988.971781300614,299.8133659833484,61.20927200029639,0.978449855764982,606
80000,-80194.79391885898,14678.1982421875,-65516.59567667148,293.78956072090074,60.95273325152123,0.9825679697255388,607
90000,-80199.08957233047,14959.8466796875,-65239.24289264297,299.42685825330693,61.10060733851308,0.9801899845015031,607
100000,-80235.33192783047,15131.302734375,-65104.02919345547,302.85861453282104,60.85109939527585,0.9842090604006262,607
