#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80147.03983039688,15297.890625,-64849.14920539688,306.3713816759288,61.03421610072738,0.9808745871530344,0
20000,-79894.59005735163,14933.013671875,-64961.57638547663,299.0639783867509,59.944856350038435,0.9986997244672132,603
30000,-79986.39051414048,14583.9013671875,-65402.48914695298,292.07229425401266,60.91598514443713,0.9827783524810504,601
40000,-80343.55633349635,14650.9443359375,-65692.61199755885,293.41496609492816,60.40620739946855,0.9910721777996736,604
50000,-80272.45587461744,14524.333984375,-65748.12189024244,290.8793362297697,61.19144881454502,0.9783542092858549,605
60000,-79811.6812316078,14917.291015625,-64894.3902159828,298.7491002092944,60.665432119803754,0.9868373046743202,604
70000,-80074.74843482778,14616.126953125,-65458.62148170278,292.71767717189374,60.445356402839074,0.9904302841896743,604
80000,-80535.83870378404,14576.1650390625,-65959.67366472154,291.91735854458346,60.81784691817769,0.9843642048123308,605
90000,-80442.75406782003,14797.1435546875,-65645.61051313253,296.3429028769562,61.69867725180323,0.9703111020627329,605
100000,-80372.97738430917,14650.40625,-65722.57113430917,293.4041898293519,60.33690216715083,0.992210560531617,605
