#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79694.8940488107,14867.2138671875,-64827.680181623204,297.3995550487343,61.46875711039599,0.9746983348423048,0
20000,-80231.8688745877,14615.5390625,-65616.3298120877,292.3651232042963,61.00813944901952,0.9820574064612285,613
30000,-80210.29076249036,15040.158203125,-65170.13255936536,300.8590847908555,60.56509487751079,0.9892413331721918,611
40000,-80235.66838767368,14878.6650390625,-65357.00334861118,297.6286210627726,60.73239486798831,0.9865162625409508,610
50000,-80049.48826414149,14759.8359375,-65289.65232664149,295.25159721370267,61.18303149663636,0.9792501897135141,609
60000,-80135.12404245103,14523.0400390625,-65612.08400338853,290.514798815443,61.47138204685465,0.9746567135038847,610
70000,-80189.06799498585,14722.8828125,-65466.185182485846,294.51239731849466,61.532100338487446,0.9736949473647989,610
80000,-79990.32136333862,14870.28125,-65120.04011333862,297.46091410980324,61.018320296683115,0.9818935511337876,610
90000,-79929.87216679275,15076.494140625,-64853.378026167746,301.5859386413021,60.86266602689179,0.9844047116479692,610
100000,-79981.7399980243,14744.642578125,-65237.097419899306,294.94767353585786,60.94005746464238,0.9831545570020355,610
