#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79749.13435221079,14404.96875,-65344.16560221079,287.985291868247,61.42463482137063,0.9757776699005393,0
20000,-80028.37349447608,14911.60546875,-65116.76802572608,298.1140138288822,60.9111767465319,0.9840031048801102,606
30000,-80327.99192670628,14552.4111328125,-65775.58079389378,290.9329718240266,60.00898454439454,0.9987968884250561,607
40000,-80249.61974549748,14583.109375,-65666.51037049748,291.5466935466933,60.42906369115815,0.9918536442466572,605
50000,-80156.11381753301,15019.56640625,-65136.54741128301,300.27237755989046,61.0817454918984,0.9812553088948366,606
60000,-80254.07684120769,14940.51953125,-65313.55730995769,298.6920660879792,60.81281292523145,0.9855947152811374,607
70000,-80221.46397680556,14975.8388671875,-65245.625109618064,299.3981730879374,60.93572808748085,0.9836066446016993,608
80000,-79681.20358593529,14862.3564453125,-64818.84714062279,297.12942339796757,61.15106550862947,0.9801429712133214,609
90000,-80279.14467472257,14945.3564453125,-65333.78822941007,298.7887660622871,60.61243116515557,0.9888530436466733,609
100000,-79505.48243559629,14504.51953125,-65000.96290434629,289.9755190802284,61.260975434707966,0.9783844709487081,609
