#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80183.7465368167,14887.5869140625,-65296.1596227542,297.2879194849025,60.28939946456012,0.994924004112324,0
20000,-80127.16128350049,15077.4833984375,-65049.67788506299,301.079932998121,61.076063817747226,0.9821093071714593,599
30000,-80118.63990178471,14763.8994140625,-65354.740487722214,294.8180229359489,61.46008114292417,0.9759728527093456,600
40000,-79932.49098201306,15530.21484375,-64402.276138263056,310.1204571770404,60.550422734221165,0.9906350445164914,598
50000,-80029.10423400253,14364.03125,-65665.07298400253,286.833117440613,60.76659396168465,0.9871109570272947,599
60000,-80728.1574064116,14892.724609375,-65835.4327970366,297.39051332762637,60.923788207845334,0.9845640345963144,599
70000,-80001.08459165413,14824.880859375,-65176.20373227913,296.035751981548,61.42651032865801,0.9765062413585105,599
80000,-80115.73144135764,14931.48046875,-65184.25097260764,298.16442308667274,60.38176509908887,0.9934020746556925,599
90000,-80090.985651828,14914.01953125,-65176.966120578,297.81574832751966,60.81368731368457,0.9863465507593031,599
100000,-80092.35378674325,14737.01171875,-65355.342067993246,294.2811067086692,60.50842292805015,0.9913226591962755,601
