#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79746.69881119672,14897.1015625,-64849.59724869672,297.65088267008036,60.47297407880768,0.9915186046994939,0
20000,-79904.15037264954,15068.177734375,-64835.97263827454,301.06906259916093,60.921624913605875,0.9842166712670354,607
30000,-80140.46589785768,14973.3798828125,-65167.08601504518,299.17495829474814,60.490600091766844,0.9912296917155068,604
40000,-79951.84137257608,14840.3798828125,-65111.46148976358,296.51755764341794,61.2441382016929,0.9790337596584981,605
50000,-80103.07835187169,14552.8125,-65550.26585187169,290.771830196897,60.7346808091953,0.9872461348569405,606
60000,-80196.89968342683,15042.236328125,-65154.66335530183,300.5507414723551,60.97396392108936,0.9833718365144599,607
70000,-79935.14544089825,14894.24609375,-65040.89934714825,297.59382910229016,60.18435009776301,0.9962735957645029,607
80000,-80157.66580799944,15202.04296875,-64955.62283924944,303.7437510278723,60.49694683862107,0.9911257016092871,607
90000,-80561.40145124984,14559.751953125,-66001.64949812484,290.9104836348989,60.6854725683005,0.9880466665751674,608
100000,-80003.34284156084,15065.228515625,-64938.114325935836,301.01013586361836,60.87684542374341,0.9849406365143587,608
