#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80053.70152792451,14992.2705078125,-65061.43102011201,298.832562381872,60.60863768451839,0.9905625936539838,0
20000,-79772.9848800858,14488.0146484375,-65284.9702316483,288.78151171048904,61.24428296332685,0.9802816922284996,618
30000,-80009.2586254424,15012.212890625,-64997.045734817395,299.23006277067265,60.99970832547086,0.9842120723312111,618
40000,-79639.06087016407,15218.181640625,-64420.879229539074,303.3355229343628,60.484222288439334,0.9926001702775672,618
50000,-79778.32197113009,14802.3759765625,-64975.94599456759,295.04750065115076,60.99959982886557,0.9842138228946418,618
60000,-79528.79364790011,15149.1845703125,-64379.60907758761,301.9602428320206,61.11571110964828,0.9823439546485647,615
70000,-79928.88601200457,14783.8623046875,-65145.02370731707,294.6784779602502,60.46686581804354,0.992885087235594,616
80000,-79902.5997996676,14985.462890625,-64917.1369090426,298.69686994710736,60.812184986005796,0.9872470353832352,616
90000,-80299.54676327319,15047.71875,-65251.82801327319,299.93778125341163,61.02690112192831,0.9837735201835215,616
100000,-80123.22677431535,14772.16015625,-65351.06661806535,294.4452255652157,61.85350119572304,0.9706265317566607,617
