#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80220.1422881831,14826.9609375,-65393.181350683095,296.76710102839576,60.84735136403288,0.9842696850001413,0
20000,-80504.06445134932,14824.7265625,-65679.33788884932,296.7223791872743,60.81313573367293,0.9848234700880203,618
30000,-79788.96433496801,14987.17578125,-64801.78855371801,299.97386031789733,60.906528790629395,0.9833133581794896,619
40000,-80118.89229229034,14909.990234375,-65208.902057915344,298.4289630807669,61.097820267047055,0.9802346973820141,619
50000,-80489.1679002262,14996.0322265625,-65493.135673663695,300.1511253428668,60.456326028634685,0.9906358406861014,619
60000,-79885.98165302956,14996.658203125,-64889.323449904565,300.1636544950341,60.9769359031196,0.9821779739034993,618
70000,-79346.7235116004,14900.876953125,-64445.8465584754,298.24655738961957,61.12379662735902,0.9798181177339154,618
80000,-80181.12301401503,14679.921875,-65501.20113901503,293.8240598684441,60.46203138875551,0.9905423616201506,618
90000,-80292.45841090463,14678.7373046875,-65613.72110621713,293.8003502559964,61.117639268178785,0.9799168305139643,618
100000,-80546.83085923293,14816.029296875,-65730.80156235793,296.54830020255963,60.96815087094287,0.9823194980432471,618
