#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80056.65314991644,15083.5859375,-64973.06721241644,302.07949432894344,60.77737184875164,0.9850197482871204,0
20000,-79938.44660429587,14676.689453125,-65261.75715117087,293.93056444227506,60.523619733129806,0.9891495549007908,619
30000,-80281.48209003708,14734.283203125,-65547.19888691208,295.0839964543043,60.304629061599364,0.9927415598371031,619
40000,-80598.10832983989,14595.357421875,-66002.75090796489,292.3017250552388,60.52690772908037,0.9890958214481324,617
50000,-80169.18538645376,15050.650390625,-65118.534995828755,301.4198929989499,60.16050428261369,0.9951198420607577,618
60000,-80220.29551365785,14963.5849609375,-65256.71055272035,299.6762306442213,61.22868014689739,0.9777593013009552,618
70000,-80116.99033531302,14768.2177734375,-65348.77256187552,295.7636052610394,60.798322390391625,0.9846803195588048,619
80000,-80018.75081679679,14818.44921875,-65200.30159804679,296.7695921438858,61.18966352044206,0.9783827541396742,619
90000,-80676.4608749185,14613.3759765625,-66063.084898356,292.6625832696642,60.01193164509117,0.997583478466603,619
100000,-80312.24075659981,14827.181640625,-65485.059115974815,296.9444766571042,60.782182241972876,0.9849417923443562,619
