#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80293.13437120011,14969.349609375,-65323.78476182511,299.44264964281786,60.6807626763166,0.9873556718447939,0
20000,-79996.6094950533,14757.619140625,-65238.9903544283,295.20725303394255,60.973022978975266,0.9826230072435223,617
30000,-80313.67283474398,14825.203125,-65488.46970974398,296.559184005078,60.44105866476778,0.9912714390499872,618
40000,-80115.84684793954,14826.232421875,-65289.61442606454,296.57977376960105,60.81772151684946,0.9851321901911454,618
50000,-79917.03666899772,14852.533203125,-65064.50346587272,297.10588718338914,60.56163614298586,0.9892978297163811,619
60000,-80203.34295254678,14780.3955078125,-65422.94744473428,295.66286506237645,61.05190868658875,0.9813533514225777,619
70000,-79581.09345441952,14964.8447265625,-64616.24872785702,299.3525352369882,61.04375568992318,0.9814844208581239,618
80000,-80016.43006182136,14878.78515625,-65137.64490557136,297.63102385312965,61.13782477303944,0.979974269983346,619
90000,-79949.35570731107,14506.5869140625,-65442.76879324857,290.1856751411707,61.062393382939106,0.9811848484974215,619
100000,-80139.52433176665,14772.462890625,-65367.061441141646,295.5041832244067,60.73083315053499,0.9865416311977809,619
