#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80055.48889829835,15053.169921875,-65002.318976423354,300.5944209467433,60.4439180367519,0.9923805846658664,0
20000,-80339.75795709086,14806.63671875,-65533.12123834086,295.6714375603793,61.22922613731971,0.979652602276598,616
30000,-80115.1170855714,14912.89453125,-65202.2225543214,297.7932833765944,61.174622816671636,0.9805270218104324,618
40000,-79915.91540777066,14653.412109375,-65262.50329839566,292.611719044684,61.119898038521086,0.9814049539644647,618
50000,-80251.55732882419,14881.255859375,-65370.30146944919,297.16149563347125,61.44638065923721,0.9761904619485556,617
60000,-80699.2641528293,15010.1201171875,-65689.1440356418,299.734766058167,60.49603684400078,0.9915256246534759,618
70000,-80219.39024482854,14788.0849609375,-65431.30528389104,295.3009803791919,60.3538808935225,0.993861038143204,618
80000,-80754.17391410272,15102.880859375,-65651.29305472772,301.58709096575484,60.075433717207694,0.9984675433749924,617
90000,-79778.06442212849,15037.9921875,-64740.07223462849,300.2913391175063,61.36397632874213,0.9775013665910709,617
100000,-80536.73594996147,14736.642578125,-65800.09337183647,294.2737353966469,59.931557536545334,1.0008645392576463,617
