#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79881.48995896766,14883.15234375,-64998.337615217664,297.3721709182623,60.654279176319264,0.9885548009951088,0
20000,-79887.87412793306,14738.818359375,-65149.05576855806,294.4883120905389,60.76477006759379,0.9867572742223727,618
30000,-79847.47051222331,14779.53125,-65067.93926222331,295.30177421132396,60.32812644974912,0.9938992375404261,619
40000,-80382.56228151219,14494.720703125,-65887.84157838719,289.6111296040205,60.916882277192265,0.9842932966892424,619
50000,-79718.51806044811,14807.708984375,-64910.809076073114,295.8647781938889,61.40831891480723,0.9764162240596697,619
60000,-80557.63173957774,15056.65625,-65500.975489577744,300.8388580872631,60.851814905511695,0.9853457776691084,619
70000,-80384.35298207775,14757.583984375,-65626.76899770275,294.86325783563376,60.943786173336925,0.9838587761861236,619
80000,-80582.79514386551,14871.20703125,-65711.58811261551,297.13349812715074,60.75888773029017,0.986852806569007,619
90000,-80425.05334512424,14879.3857421875,-65545.66760293674,297.296912501379,60.24691477238115,0.9952389945142122,620
100000,-79705.05520139576,14759.1884765625,-64945.866724833264,294.8953163212287,61.305715762319025,0.9780503846184919,620
