#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80061.8627487307,14964.208984375,-65097.653764355695,299.51417139329357,61.04896035708482,0.9810192181793511,0
20000,-80136.80950456648,14801.162109375,-65335.64739519148,296.25072795202095,60.86203611826285,0.9840322010225735,603
30000,-80312.04029135616,15137.599609375,-65174.440681981156,302.984648812345,61.32690876023916,0.9765730014912951,605
40000,-80103.62520409795,15068.56640625,-65035.058797847945,301.60292374727817,60.37844673269158,0.9919136148916917,605
50000,-80397.05417071888,14423.0146484375,-65974.03952228138,288.6819668136651,60.6701201284944,0.9871449608691554,605
60000,-80272.807664669,14776.873046875,-65495.934617794,295.76457339241784,60.05597420073192,0.9972397277245343,603
70000,-80627.14665746922,14764.703125,-65862.44353246922,295.5209879098763,61.329345832977495,0.9765341949557516,603
80000,-79697.10015980841,15318.353515625,-64378.74664418341,306.6025050260011,60.760364524655685,0.9856788027640447,604
90000,-80108.93653681863,14874.208984375,-65234.727552443626,297.71278814252884,60.61323257703469,0.9880714295191859,604
100000,-80165.33085677621,14653.1982421875,-65512.132614588714,293.2891764845771,61.04904355396146,0.981017881258572,604
