#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79910.32003405027,14708.6162109375,-65201.703823112766,294.5699627190194,61.339912299228295,0.9759862587994478,0
20000,-80292.79435381491,14690.5,-65602.29435381491,294.2071487395166,61.20028683921341,0.9782129236958249,605
30000,-81033.44161146902,14665.029296875,-66368.41231459402,293.69704609203717,60.19913044841822,0.9944813334356578,605
40000,-80743.98315354635,14692.7578125,-66051.22534104635,294.25236602810537,60.3440950800028,0.9920922907310133,605
50000,-80145.82848888275,14628.9580078125,-65516.87048107025,292.9746451454093,60.20551954191731,0.9943757976929093,605
60000,-80233.68093823467,15053.708984375,-65179.97195385967,301.48114756117303,60.326945118647345,0.9923743263025747,605
70000,-79877.69592196366,15334.412109375,-64543.28381258866,307.1027986995634,61.11135672981044,0.9796364329579133,605
80000,-79690.06181945908,14793.8857421875,-64896.17607727158,296.27765855397513,61.52992405963321,0.9729722965688792,605
90000,-80761.22877116664,14758.251953125,-66002.97681804164,295.56401943489385,60.66334452908886,0.9868712644305838,605
100000,-79711.55985488545,14801.5390625,-64910.02079238545,296.4309318630886,60.47731854489948,0.989906843762654,605
