#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80716.73864598304,14677.3369140625,-66039.40173192054,293.6013100057936,60.01553986482848,0.9982996959665905,0
20000,-80194.24162794673,14650.609375,-65543.63225294673,293.06665984902963,60.91970528758966,0.9834830112438909,616
30000,-80675.3597914105,14859.513671875,-65815.8461195355,297.2455225124311,60.453022058141116,0.9910752706904684,616
40000,-80255.95946220832,14913.6796875,-65342.279774708324,298.32904421929175,60.21527316683614,0.9949883484598507,616
50000,-79814.18199071102,14624.31640625,-65189.86558446102,292.5407027142892,61.08894205718586,0.9807584348775191,616
60000,-80523.70223282475,15123.755859375,-65399.946373449755,302.53134873983504,61.106571473231064,0.980475483337751,617
70000,-80343.96890031337,15042.0634765625,-65301.90542375087,300.89719734359204,60.85022622459889,0.9846059565857267,616
80000,-79741.32940167154,14568.630859375,-65172.69854229654,291.4267847326678,60.65184486392754,0.9878264269577459,616
90000,-80404.69157265173,14796.59375,-65608.09782265173,295.9868901327204,61.31530660157712,0.9771376597632148,617
100000,-80415.66367452405,14947.142578125,-65468.521096399054,298.9984264499788,60.87742832657388,0.9841660012135559,617
