#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80314.30752926273,14809.15625,-65505.15127926273,296.06584082167643,60.72325565554183,0.9870483127664534,0
20000,-79830.6598502394,15002.1015625,-64828.558287739404,299.9232190013356,60.62244218014646,0.9886897473113935,603
30000,-80544.97077703313,15076.53515625,-65468.43562078313,301.41130138408266,61.148836574234075,0.9801786983751671,605
40000,-80417.01183882612,14915.50390625,-65501.50793257612,298.1919517043995,61.18810578336572,0.979549640786276,602
50000,-79749.57122898835,15149.1298828125,-64600.44134617585,302.862620986369,61.32267980471923,0.9773999967280618,602
60000,-80148.05779845733,15062.876953125,-65085.18084533233,301.1382454905495,61.299991314909725,0.9777617541996357,603
70000,-79827.73538300104,14841.4375,-64986.29788300104,296.71121016363503,60.45796049978661,0.9913795725990477,603
80000,-80324.72489745892,14964.560546875,-65360.16435058392,299.17269600267963,61.0916333466174,0.9810964899305188,603
90000,-80195.95212512056,14990.76953125,-65205.18259387056,299.6966681227028,60.3988641434578,0.992349572967602,603
100000,-80364.01735379978,14953.705078125,-65410.312275674776,298.9556725998114,60.54909959972794,0.9898873383206821,603
