#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-79881.00895100355,14595.591796875,-65285.41715412855,291.45711417108583,61.23314822383641,0.9795898538735863,0
20000,-80390.86883026757,15040.2646484375,-65350.60418183007,300.33671753834244,60.79266945194491,0.9866875605491042,605
30000,-80708.4123915562,14786.404296875,-65922.0080946812,295.26741945858214,60.52078611057003,0.9911201518635165,604
40000,-80328.23419023643,14847.712890625,-65480.52129961143,296.49168128070903,60.53940163260987,0.9908153880479915,604
50000,-80043.35593301209,14459.791015625,-65583.56491738709,288.7453293831762,60.646922572348494,0.9890587712715455,605
60000,-79880.10973681428,14800.9033203125,-65079.20641650178,295.5569482141272,60.73797708979655,0.9875760371822497,605
70000,-80031.67433378822,14557.708984375,-65473.96534941322,290.7006381499972,61.01398741417251,0.9831085176195917,604
80000,-79865.84454900224,15008.9052734375,-64856.93927556474,299.71050703129976,60.87975201761738,0.9852761999334292,603
90000,-80275.73403641174,14955.091796875,-65320.64223953674,298.6359140445476,60.7141601863353,0.9879634427407891,603
100000,-79746.00186931295,14527.78515625,-65218.21671306295,290.1030938563748,61.16122949001547,0.9807417414752888,604
