#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,-80144.06022405543,14640.208984375,-65503.85123968043,292.5180518096948,60.87702089847544,0.9849377974760531,0
20000,-80493.51203536242,14690.279296875,-65803.23273848742,293.518479486761,60.34258713584539,0.9936610564221217,616
30000,-80383.25390627352,14742.9716796875,-65640.28222658602,294.57129732440075,60.84416590854207,0.9854696499706658,613
40000,-80478.53067665594,14906.2099609375,-65572.32071571844,297.8328726245194,60.47447893809722,0.9914939315479558,615
50000,-80094.36898277572,14720.5078125,-65373.86117027572,294.12245901390855,61.228381198940795,0.9792857120593828,615
60000,-80383.21907132375,14714.1728515625,-65669.04621976125,293.9958836054765,61.110152969323146,0.9811803107537235,616
70000,-80058.39793203701,14755.30078125,-65303.09715078701,294.81763839599853,61.554920213520376,0.9740907578575333,616
80000,-80120.32401492167,14610.888671875,-65509.43534304667,291.93221859514813,61.052190814815056,0.9821118305569145,616
90000,-80055.22424428118,15043.52734375,-65011.696900531184,300.5765365532781,60.87201432187023,0.9850188062382794,616
100000,-80292.01885445835,14737.22265625,-65554.79619820835,294.45642921442084,60.682456661079726,0.9880957723174218,617
